nl-product-card__no-button href,nl-product-card__title,nl-product__brand--bold,nl-product-card__image-wrap src,nl-price--total,nl-price--now,nl-price--each,bv_text,bv_text (2),bv-off-screen,nl-tag,nl-tag (2),nl-product__code,nl-rebate-header,nl-product-card__atc-button-label,nl-price--total--red,nl-price--was,nl-price--was (2),nl-price--was (3),sr-only,nl-product-card__urgent-low-stock,nl-checkbox__text,nl-product-card__availability-message,nl-price--now (2),nl-product-card__show-colour,nl-tag src,nl-price--each (2),nl-product-card__link-text,nl-product-card__title (2),nl-product-card__title (3),nl-rebate__grey-copy-msg--link href,nl-rebate__grey-copy-msg--link,lazyload src
https://www.canadiantire.ca/fr/pdp/tapis-de-salle-de-bains-canvas-en-coton-20-x-34-po-0632709p.html,"Tapis de salle de bains CANVAS en coton, 20 x 34 po",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/bed-bath-decor/0632710/beige-bathroom-mat-20x34-4ddd8905-71c8-40db-b7e7-d49288989bc8-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.0,(4),3.0 étoile(s) sur 5. 4 évaluations,Liquidation◊,Exclusivité,#063-2709X,,Options,"11,93 $",Était,,"19,99 $","prix était à partir de 19,99 $",,,,et+,+ Plus d'options,,,,,,,,
https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-4-lampes-abat-jour-en-verre-blanc-givre-carre-canvas-neptune-chrome-0523621p.html,"Applique de salle de bain à 4 lampes abat-jour en verre blanc givré carré CANVAS Neptune, chrome",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0523621/canvas-vanity-4-light-neptune-1a528fee-7bc6-4218-977f-76f1ca66ffba-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.2,(26),4.2 étoile(s) sur 5. 26 évaluations,Liquidation◊,Mieux notés,#052-3621-0,,Ajouter,"39,93 $",Était±,±,"179,99 $","prix était 179,99 $",Il n’en reste que 1,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-kohler-elliston-a-double-poignee-chrome-0634732p.html,"Robinet de lavabo de salle de bains Kohler Elliston, à double poignée, chrome",Kohler,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634732/kohler-elliston-centre-set-bathroom-faucet-chrome-7039c6cd-b5cd-4c9b-ab66-15e432114885.png?im=whresize&wid=200&hei=200,,Maintenant,,4.8,(4),4.8 étoile(s) sur 5. 4 évaluations,Liquidation◊,Mieux notés,#063-4732-4,,Options,"99,93 $",Était±,±,"189,99 $","prix était 189,99 $",,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/porte-papier-hygienique-pivotant-moen-sage-pour-salle-de-bains-nickel-brosse-0636226p.html,"Porte-papier hygiénique pivotant Moen Sage pour salle de bains, nickel brossé",Moen,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636226/moen-sage-pivoting-paper-holder-brushed-nickel-013c67ac-500a-463e-b727-4b56f984ead0-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,5.0,(13),5.0 étoile(s) sur 5. 13 évaluations,Liquidation◊,Mieux notés,#063-6226-8,,Ajouter,"29,93 $",Était±,±,"54,99 $","prix était 54,99 $",Il n’en reste que 1,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/montre-intelligente-apexfit-e02l-avec-ecran-tactile-0356234p.html,Montre intelligente ApexFit E02L avec écran tactile,,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0356234/e02l-smartwatch-d3053f39-f35f-4575-8d88-e40940e165dc-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,2.9,(113),2.9 étoile(s) sur 5. 113 évaluations,Liquidation◊,,#035-6234-6,,Options,"18,53 $",Était±,±,"51,99 $","prix était 51,99 $",,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/wall-stories-pat-patrouille-la-fete-de-la-grande-vallee-autocollant-mural-interactif-avec-realite-augmentee-3997602p.html,Wall Stories – Pat'Patrouille – La Fête de la Grande Vallée – Autocollant mural interactif avec réalité augmentée,Wall Stories,https://media-www.canadiantire.ca/product/fixing/paint/paints/3997602/wall-stories-paw-patrol-interactive-wall-sticker-3b8addc1-96c8-426f-9c66-be8a1e6736c2-jpgrendition.jpg?im=whresize&wid=200&hei=200,"14,93 $",,,5.0,(3),5.0 étoile(s) sur 5. 3 évaluations,Liquidation◊,Mieux notés,#399-7602-8,,Ajouter,,,,,,,,57 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-delta-faucet-struct-poignee-simple-certifie-watersense-4-po-nickel-brosse-0639892p.html,"Robinet de lavabo de salle de bains central Delta Faucet Struct, poignée simple, certifié WaterSense, 4 po, nickel brossé",Delta,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0639892/delta-struct-1-handle-lavatory-faucet-matte-black-bc3d168a-78b2-46aa-bdb5-57d2f3caa99a-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,5.0,(2),5.0 étoile(s) sur 5. 2 évaluations,Liquidation◊,Mieux notés,#063-9892-2,,Ajouter,"99,93 $",Était±,±,"249,99 $","prix était 249,99 $",,,17 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-en-forme-de-goutte-a-3-lampes-abat-jour-en-verre-transparent-canvas-nickel-brosse-0529295p.html,"Applique de salle de bain en forme de goutte à 3 lampes abat-jour en verre transparent CANVAS, nickel brossé",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0529295/canvas-amelia-3-light-brushed-nickel-vanity-light-059a7d81-348e-4476-829b-4adf85197f6d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,5.0,(7),5.0 étoile(s) sur 5. 7 évaluations,Liquidation◊,Mieux notés,#052-9295-0,,Ajouter,"39,93 $",Était±,±,"189,99 $","prix était 189,99 $",Il n’en reste que 2,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/applique-de-salle-de-bain-a-3-lampes-abat-jour-en-verre-transparent-canvas-sadie-chrome-0527880p.html,"Applique de salle de bain à 3 lampes abat-jour en verre transparent CANVAS Sadie, chrome",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/lighting/0527880/canvas-sadie-3-light-vanity-light-70931643-6023-4f77-b36b-dcd71d66a622-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.2,(11),4.2 étoile(s) sur 5. 11 évaluations,Liquidation◊,Mieux notés,#052-7880-8,,Ajouter,"39,93 $",Était±,±,"179,99 $","prix était 179,99 $",Il n’en reste que 3,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/roue-jante-en-alliage-crw-gt1-pour-vehicule-de-tourisme-vum-noir-lustre-2410655p.html,"Roue/jante en alliage CRW GT1 pour véhicule de tourisme/VUM, noir lustré",CRW,https://media-www.canadiantire.ca/product/automotive/tires/wheels-and-accessories/2410693/crw-gt1-alloy-wheel-gloss-black-18x8-0-5x100-c-bore-54-1-10004ad6-dc05-4833-a138-fb4f1ea88a3c-jpgrendition.jpg?im=whresize&wid=200&hei=200,,et+,chaque,4.5,(107),4.5 étoile(s) sur 5. 107 évaluations,Liquidation◊,Solde,#241-0655X,,Options,"127,99 $",et+,,"152,99 $chaque","prix était à partir de 152,99 $",,,,,,https://media-www.canadiantire.ca/category-content/2023/northern-light/tested-fr.png,chaque,,,,,,
https://www.canadiantire.ca/fr/pdp/bouteille-d-eau-reutilisable-portative-isotherme-en-acier-inoxydable-avec-paille-integree-owala-freesip-couleurs-variees-24-oz-2420884p.html,"Bouteille d'eau réutilisable portative isotherme en acier inoxydable avec paille intégrée Owala FreeSip, couleurs variées, 24 oz",Owala,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/2423489/owala-24oz-freesip-in-very-very-dark-black-water-bottle-7d6fbd9e-20c8-40d8-a5cf-8abf7c7a004f-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.8,(9194),4.8 étoile(s) sur 5. 9194 évaluations,Liquidation◊,Mieux notés,#242-0884X,,Options,"29,93 $",Était,,"41,99 $","prix était à partir de 41,99 $",,,,et+,+ Plus d'options,,,,,,,,
https://www.canadiantire.ca/fr/pdp/pneu-motormaster-winter-edge-hd-pour-camionnette-et-vus-0061082p.html,Pneu MotorMaster Winter Edge HD pour camionnette et VUS,,https://media-www.canadiantire.ca/product/automotive/tires/winter-tires/0061098/-p235-65r16-120-116r-motomaster-winter-edge-hd-d0a35600-f970-4f8f-9b47-4b81ad7a4803-jpgrendition.jpg?im=whresize&wid=200&hei=200,,et+,chaque,3.8,(10),3.8 étoile(s) sur 5. 10 évaluations,Liquidation◊,Solde,#006-1082X,,Options,"185,99 $",et+,,"247,99 $chaque","prix était à partir de 247,99 $",,,,,,,chaque,,,,,,
https://www.canadiantire.ca/fr/pdp/roue-jante-en-alliage-crw-gt1-pour-vehicule-de-tourisme-vum-gris-metallise-2410656p.html,"Roue/jante en alliage CRW GT1 pour véhicule de tourisme/VUM, gris métallisé",CRW,https://media-www.canadiantire.ca/product/automotive/tires/wheels-and-accessories/2410678/crw-gt1-alloy-wheel-gunmetal-grey-17x7-0-5x114-3-c-bore-67-1-be8d5096-a8b8-4853-bb44-6e5e91c1e1f6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,et+,chaque,4.6,(82),4.6 étoile(s) sur 5. 82 évaluations,Liquidation◊,Solde,#241-0656X,,Options,"133,99 $",et+,,"158,99 $chaque","prix était à partir de 158,99 $",,,,,,https://media-www.canadiantire.ca/category-content/2023/northern-light/tested-fr.png,chaque,,,,,,
https://www.canadiantire.ca/fr/pdp/tasse-isotherme-en-acier-inoxydable-manna-tahoe-avec-couvercle-etanche-20-oz-1426324p.html,"Tasse isotherme en acier inoxydable Manna Tahoe avec couvercle étanche, 20 oz",Manna,https://media-www.canadiantire.ca/product/living/kitchen/food-storage/1426324/manna-tahoe-stainless-steel-insulated-mug-d780186a-7e9d-423b-8d3f-708d66b23360-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.8,(336),3.8 étoile(s) sur 5. 336 évaluations,Liquidation◊,,#142-6324X,,Options,"13,93 $",Était,,"19,99 $","prix était à partir de 19,99 $",,,,et+,+ Plus d'options,,,,,,,,
https://www.canadiantire.ca/fr/pdp/pneu-michelin-pilot-sport-a-s-4-pour-vehicules-de-tourisme-et-multisegments-3085780p.html,Pneu Michelin Pilot Sport A/S 4 pour véhicules de tourisme et multisegments,Michelin,https://media-www.canadiantire.ca/product/automotive/tires/performance-tires/0073605/p215-50r17-95y-michelin-pilot-sport-a-s-4--d8a54d70-3dc5-4a30-9e2e-32e6874a4df6-jpgrendition.jpg?im=whresize&wid=200&hei=200,"298,99 $",et+,chaque,4.4,(414),4.4 étoile(s) sur 5. 414 évaluations,Liquidation◊,Rabais instantané,#006-3070X,Rabais instantané de 85 $ à l'achat de 4 pneus.,Options,,,,,,,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/baton-de-hockey-en-composite-ccm-ribcor-prime-jeunes-violet-et-noir-1830440p.html,"Bâton de hockey en composite CCM RibCor Prime, jeunes, violet et noir",CCM,https://media-www.canadiantire.ca/product/playing/hockey/hockey-sticks/1830444/ccm-ribcor-prime-hockey-stick-youth-flex-30-left-cb427981-c314-4550-83ae-e910ce8c1cd6-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.7,(3),4.7 étoile(s) sur 5. 3 évaluations,Liquidation◊,Mieux notés,#183-0440X,,Options,"39,93 $",Était,,"59,99 $","prix était à partir de 59,99 $",,,,et+,+ Plus d'options,,,,,,,,
https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-evase-kohler-elliston-a-double-poignee-8-16-po-chrome-0634712p.html,"Robinet de lavabo de salle de bains central évasé Kohler Elliston, à double poignée, 8-16 po, chrome",Kohler,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634712/kohler-elliston-widespread-bathroom-faucet-chrome-604a6c4f-b416-46b4-98c6-bd9bdedbcc2e-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,5.0,(6),5.0 étoile(s) sur 5. 6 évaluations,Liquidation◊,Mieux notés,#063-4712-2,,Ajouter,"149,93 $",Était±,±,"269,99 $","prix était 269,99 $",Il n’en reste que 1,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/autocollant-mural-interactif-wall-stories-sesame-street-3998173p.html,Autocollant mural interactif Wall Stories Sesame Street,Wall Stories,https://media-www.canadiantire.ca/product/fixing/paint/paints/3998173/wall-stories-sesame-street-interactive-wall-sticker-fe8bdea5-cc05-4a63-988b-6bddb3aee548-jpgrendition.jpg?im=whresize&wid=200&hei=200,"14,93 $",,,5.0,(1),5.0 étoile(s) sur 5. 1 évaluation,Liquidation◊,Mieux notés,#399-8173-2,,Ajouter,,,,,,,,162 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/robinet-de-lavabo-de-salle-de-bains-central-kohler-elliston-poignee-simple-et-trou-unique-4-po-nickel-brosse-0634709p.html,"Robinet de lavabo de salle de bains central Kohler Elliston, poignée simple et trou unique, 4 po, nickel brossé",Kohler,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0634709/kohler-elliston-single-handle-bathroom-faucet-brushed-nickel-43a5945d-2092-474a-a61b-8a05ba57e58b.png?im=whresize&wid=200&hei=200,,Maintenant,,2.0,(1),2.0 étoile(s) sur 5. 1 évaluation,Liquidation◊,,#063-4709-2,,Ajouter,"119,93 $",Était±,±,"229,99 $","prix était 229,99 $",Il n’en reste que 5,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/demarreur-a-distance-smartstart-3g-0340841p.html,Démarreur à distance SmartStart 3G,,https://media-www.canadiantire.ca/product/automotive/car-care-accessories/auto-electronics/0340841/smartstart-3g-remote-starter-d554ce87-b7eb-4d01-828e-af7e593ef90b-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,1.0,(2),1.0 étoile(s) sur 5. 2 évaluations,Liquidation◊,,#034-0841-8,,Ajouter,"14,93 $",Était±,±,"249,99 $","prix était 249,99 $",,,263 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/jante-en-alliage-pour-camions-trail-boss-rebel-noir-satine-1412224p.html,"Jante en alliage pour camions Trail Boss Rebel, noir satiné",Trail Boss,https://media-www.canadiantire.ca/product/automotive/tires/wheels-and-accessories/1412229/20-trail-boss-rebel--31d6b839-3245-40b1-b32a-248f4660adc2-jpgrendition.jpg?im=whresize&wid=200&hei=200,,et+,chaque,4.1,(29),4.1 étoile(s) sur 5. 29 évaluations,Liquidation◊,Solde,#141-2224X,,Options,"151,89 $",et+,,"202,99 $chaque","prix était à partir de 202,99 $",,,,,,https://media-www.canadiantire.ca/category-content/2023/northern-light/tested-fr.png,chaque,,,,,,
https://www.canadiantire.ca/fr/pdp/litiere-agglomerante-legere-okocat-5-kg-1426972p.html,"Litière agglomérante légère Okocat, 5 kg",Okocat,https://media-www.canadiantire.ca/product/living/pet-care/pet-accessories/1426972/okocat-featherweight-clumping-cat-litter-5kg-14049146-0179-448c-8b71-bee9fa379b92-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.3,(364),4.3 étoile(s) sur 5. 364 évaluations,Liquidation◊,Mieux notés,#142-6972-2,,Ajouter,"15,93 $",Était±,±,"30,99 $","prix était 30,99 $",,,31 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/porte-serviettes-barre-a-serviettes-simple-pour-salle-de-bain-moen-sage-nickel-brosse-18-po-0636219p.html,"Porte-serviettes/barre à serviettes simple pour salle de bain Moen Sage, nickel brossé, 18 po",Moen,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636219/moen-sage-18-towel-bar-brushed-nickel-624bd34f-2ab1-4367-99de-f1b907d3cb74-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.8,(13),4.8 étoile(s) sur 5. 13 évaluations,Liquidation◊,Mieux notés,#063-6219-6,,Ajouter,"29,93 $",Était±,±,"54,99 $","prix était 54,99 $",Il n’en reste que 2,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/grille-de-rechange-broan-fg101-nutone-pour-ventilateurs-d-evacuation-serie-economique-blanc-9-1-4-x-9-3-4-po-0522700p.html,"Grille de rechange Broan FG101 NuTone pour ventilateurs d'évacuation série économique, blanc, 9-1/4 x 9-3/4 po",Broan,https://media-www.canadiantire.ca/product/fixing/home-environment/home-air-quality-accessories/0522700/grill-replacement-white-modern-for-exhaust-fan-555adde0-5ebd-487f-86e4-2783fd99fd38-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.5,(18),4.5 étoile(s) sur 5. 18 évaluations,Liquidation◊,Mieux notés,#052-2700-8,,Ajouter,"14,93 $",Était±,±,"17,99 $","prix était 17,99 $",Il n’en reste que 1,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/meuble-lavabo-simple-canvas-brooks-a-2-portes-dessus-en-pierre-24-po-blanc-0636347p.html,"Meuble-lavabo simple CANVAS Brooks à 2 portes, dessus en pierre, 24 po, blanc",CANVAS,https://media-www.canadiantire.ca/product/fixing/plumbing/faucets-fixtures/0636347/canvas-brooks-24-chevron-style-vanity-double-doors-white-2da9c522-7f30-4654-9764-a202f9dd74c3-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.0,(28),3.0 étoile(s) sur 5. 28 évaluations,Liquidation◊,Exclusivité,#063-6347-0,,Ajouter,"89,93 $",Était±,±,"419,99 $","prix était 419,99 $",,,27 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/tabouret-de-comptoir-bar-similicuir-capitonne-et-chrome-hauteur-reglable-for-living-blanc-0687041p.html,"Tabouret de comptoir/bar similicuir capitonné et chrome hauteur réglable For Living, blanc",For Living,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0687041/for-living-tufted-bar-stool-white-cf2c5592-7b16-461e-a331-4d5a4fad73d9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.9,(93),3.9 étoile(s) sur 5. 93 évaluations,Liquidation◊,Articles à succès,#068-7041-0,,Ajouter,"59,93 $",Était±,±,"119,99 $","prix était 119,99 $",,Comparer,26 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/range-accessoires-de-douche-sur-montant-a-tension-type-a-en-aluminium-resistant-a-la-rouille-avec-crochets-et-tablettes-reglables-0634807p.html,"Range-accessoires de douche sur montant à tension Type A, en aluminium, résistant à la rouille avec crochets et tablettes réglables",Type A,https://media-www.canadiantire.ca/product/living/home-decor/bed-bath-decor/0634807/type-a-forte-4-tier-tension-pole-shower-caddy-aluminum-c0e85dc3-8021-4a9b-ac3a-e2214033b669-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.3,(50),3.3 étoile(s) sur 5. 50 évaluations,Liquidation◊,Exclusivité,#063-4807-8,,Ajouter,"39,93 $",Était±,±,"89,99 $","prix était 89,99 $",,,180 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/tabouret-de-bar-en-bois-et-similicuir-pu-avec-dossier-canvas-parsons-brun-fonce-0684462p.html,"Tabouret de bar en bois et similicuir pu avec dossier CANVAS Parsons, brun foncé",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0684462/canvas-parsons-stool-dark-brown-bde14be0-38bf-4a55-af1b-92acb9f3d4dd-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.3,(100),3.3 étoile(s) sur 5. 100 évaluations,Liquidation◊,Exclusivité,#068-4462-6,,Ajouter,"79,93 $",Était±,±,"119,99 $","prix était 119,99 $",Il n’en reste que 1,Comparer,,,,,,,,,,,
